nodeName	Degree
AGTRAP	135
DLD	4
DLAT	3
TERF2IP	130
TERF2	68
TERF1	220
POT1	166
POLR1C	121
POLR2E	32
PTGES3	32
NUDCD3	117
Q96BE0	155
PFDN2	18
POLR3D	18
POLR1D	22
POLR3C	42
POLR3K	7
POLR3G	6
CRCP	12
POLR2H	10
POLR2F	7
POLR3F	27
POLR3B	15
POLR3H	8
HOXA1	338
ADAMTSL4	236
ESR2	318
FRS3	112
LASP1	133
LGALS9C	31
Q7Z783	33
KRTAP9-2	152
KRTAP4-11	73
VSIR	27
GPRIN2	22
KRTAP10-9	228
ZNF417	180
CRKL	41
MVP	65
IHPK2	1
B3KX51	2
I7HJJ0	9
SPRY2	96
STK16	81
HOXA-9	3
GLRX3	102
ATG12	17
EFEMP2	134
HRG	9
GNAI2	16
SLC25A6	26
HOXB6	12
FBLN1	51
CNTFR	11
RBL1	17
PML	28
CRK	210
RGS3	9
SMCP	72
ADCY7	3
KRTAP10-3	275
KRTAP10-11	38
SLC35A2	4
OGDH	3
ZBTB16	125
Q0VAR9	1
KIF1A	33
ILF3	29
PKD2	10
ZNF638	14
P2RY6	17
NR0B2	34
CRY1	11
MAPK6	177
LONRF1	94
Q5T3U0	3
LCE3C	54
C10ORF62	12
INTS11	39
LCE4A	69
LCE2D	56
KRTAP5-6	83
SPATA8	27
DLK2	4
NUFIP2	94
TRIM42	145
BCL6B	26
CCDC33	153
EXD3	2
Q8NBD6	2
CATSPER1	119
GDPD5	5
PHLDA1	34
PP2135	1
DOCK2	44
FRAT1	12
SMARCC1	31
C4ORF42	2
ZNF764	34
DHRS1	30
MED15	14
KRTAP4-12	160
KRTAP4-2	122
YIPF3	16
IQCN	14
PCED1A	6
CHRD	59
DEF6	25
Q9H8J7	14
NTN4	15
ARNT2	76
DMRT3	85
NPDC1	34
PLSCR4	63
PLSCR3	33
DEPP1	9
NECAP2	4
RERE	26
HEY2	20
CTSZ	20
IP6K2	6
Q9UI71	6
SPG7	28
NCOR1	34
NCOR2	39
NR2C1	4
BNIP3	59
RINT1	93
TMEM120B	55
B4DHJ7	2
GNB5	32
CASK	30
CYB5B	45
LMNA	84
BCL2	21
TMEM11	48
GBP2	22
DUSP3	6
GABARAPL2	61
BCL2L1	55
MALL	65
ECM1	35
LDLRAD1	34
CAMK1D	10
KLHL23	9
CLEC7A	47
GABARAPL1	46
TNMD	19
ROBO2	16
SMCO4	58
TMPRSS4	14
DOK5	14
GKAP1	22
KIFBP	15
ESR1	100
CASP8	66
RTL8C	11
ZG16	12
SERPINI2	8
ADRM1	10
Q504X2	2
Q59FJ2	2
Q59GG4	1
RB1CC1	24
TMEM37	6
ANKRD2	5
CD2AP	15
TCF12	74
GORASP2	137
LNX1	418
PBX2	35
ND4	17
NDUFB5	17
NDUFC2	12
NDUFB10	20
NDUFA8	15
NDUFA5	18
Q9HA70	3
UBE2J2	14
A0A024R1L7	5
DOM3Z	20
CCDC196	39
A0A384ME25	25
TMEM129	3
SYCE3	11
LOC401296	20
TUSC5	98
A8K0U2	8
LGALS8	13
EIF3F	61
EXOC5	49
DPYSL4	13
CHD1	4
SH2D1B	26
HNRNPDL	3
MCF2L	6
NPFF	7
FANCG	59
NVL	24
SLC16A6	1
PER1	39
ZSCAN9	31
FABP7	9
ZBTB24	77
MSH5	12
SRGAP3	18
COCH	1
OIP5	150
TIMM8A	12
TIMM17B	23
EIF5B	5
SHOX2	14
HMMR	9
H2AP	19
USP2	133
PALM	8
STAM2	43
PIAS1	65
AQP8	14
SLITRK3	1
YIF1A	76
MBD4	12
IL18RAP	3
LCA5L	25
BAG3	95
GPANK1	95
CCNE2	7
CYB5A	7
CSTA	11
ALB	14
FTL	29
LCAT	3
PTMA	13
POLB	5
NEFL	138
SLC3A2	14
HCK	63
KRT19	87
ANXA5	12
RPSA	40
P09565	5
JMJD7	20
GPR89B	1
GLI4	4
PRPS2	13
CD79A	167
CKMT1A|CKMT1B	11
SKIL	94
XRCC6	84
RNH1	5
ANXA8	23
AKR1A1	5
ATP6V1B1	13
FOSL1	30
GATA1	68
SELE	3
TNNI3	9
SPINK2	8
PSMB1	103
AGA	4
ATP6V1B2	12
COMT	83
TGM2	49
PCMT1	19
IGFBP4	18
GATA2	30
YY1	57
PSMA3	117
S100P	12
PIK3R1	177
PSMB8	36
NDUFS1	36
TEAD1	21
CASP1	22
SDC2	18
G6PC1	6
TRIM23	208
NUDT1	14
RPL3	6
VDAC2	27
NOTCH1	16
STT3A	15
QARS1	99
PXN	36
DNASE1L1	11
MECP2	41
GPC3	3
MAP2K6	22
ZNF138	19
HK3	13
SMTN	3
EIF6	41
KLF3	33
UBE2K	95
COPS2	14
MAX	29
TBPL1	16
RPS27A	40
DYNLT1	31
CCT2	18
DENND2B	3
HHEX	32
MECOM	10
UBXN1	27
KDSR	5
GRIK2	5
SLC13A2	3
ITGB3BP	70
AQP6	306
SERINC3	5
C1D	13
IL16	109
SEPTIN6	24
KEAP1	71
BECN1	80
KRT33B	77
PUM1	7
CLINT1	3
LPIN1	20
NR1D2	57
C21ORF29	1
WTAP	22
MLC1	15
KIAA0040	6
MED22	16
ZKSCAN8	22
RAB11B	14
ZNF124	58
PSMD5	9
BATF	24
ZNF239	8
ZSCAN26	19
CLPP	24
SYT16	35
FAM98C	12
ERCC6L	5
ZXDC	27
SMU1	15
C12ORF74	26
EDRF1	19
ZNF829	38
ZNF791	2
KRTAP13-3	76
KRTAP19-7	92
CFAP100	24
FAM135B	16
ZC2HC1C	102
TMP_LOCUS_54	16
FASTKD1	11
PLEKHG4	76
ODF2	13
DALRD3	15
FAM76B	22
FAM209A	232
LCE1B	76
LCE2A	53
DCAF8	30
ZNF697	15
FAM74A4|FAM74A6	26
CDKAL1	3
TUT7	19
DMRTA1	8
ZDHHC20	3
TTC23	114
RUSC1-AS1	18
DENND2C	2
ZNF57	25
LHX8	40
OTUD7B	58
RHBDD2	63
ZNF774	86
ESRP1	45
H3-5	40
FAM117B	24
FBXO42	4
FAHD1	8
C22ORF39	52
LVRN	3
FAM111B	5
NSMF	39
ASCL4	45
ZNF497	49
CCDC141	11
ANKRD13D	17
KIAA0408	55
STXBP4	4
TMUB2	37
CYFIP1	20
DOK3	30
G2E3	11
Q7L8T7	13
STRC	4
PHF5A	14
SAMD7	8
ZNF572	70
GPR141	12
SPRED2	49
RBBP6	27
TADA2B	8
ISCA2	18
SLCO6A1	1
Q86V28	26
MOGAT3	5
KRTAP8-1	102
TMTC1	25
TRARG1	99
MSRB3	37
IQCF2	6
BAP18	6
IFT20	69
SHLD1	10
ZNF440	36
TCEAL8	11
RNF168	13
FAM9A	66
TMEM61	16
ZNF444	35
CCAR2	8
KRT222	13
SIX6OS1	4
MPP5	19
LNX2	87
MPND	21
CAMKK1	14
RNF10	50
NGEF	19
MSL3	1
METTL27	51
SAMD3	28
ZNF366	25
IQUB	73
TEX19	7
SUMF2	13
UBAC2	10
GALNT6	8
DKFZP547K2416	13
RBM15B	8
SRARP	5
VPS37A	25
FBH1	17
SPATA3	28
PPTC7	8
C1ORF216	86
CXORF38	15
ZCRB1	4
PLPPR1	15
FANK1	7
SPPL2A	3
RHPN1	19
TCP10L	37
SYTL5	8
EPS8L1	8
TBC1D22A	4
BBX	6
THAP4	51
ING5	49
BSND	33
TSC1	228
ANP32B	18
SNAPC3	16
DVL3	164
SCAMP4	18
NCLN	3
TENT5B	79
MYLPF	6
SH3KBP1	37
ZNF524	25
OPTN	197
OTUB2	32
CLIP3	8
TCEAL4	2
HSPBAP1	13
DISP1	3
ASIC4	35
OTUB1	66
PERP	8
FAM163A	20
RUSF1	57
MRFAP1L1	53
RBM17	23
ZNF625	10
PGLYRP3	13
BMF	26
C8ORF48	23
CCDC17	16
MAGEB18	14
ZNF488	39
ZNF641	17
CAMK1G	10
RBM14	12
LENG8	56
TRNT1	2
IL4I1	3
KCTD15	22
EYA3	15
PLIN2	9
NDN	36
TTC1	25
SPAG8	117
CITED2	5
DPYSL5	25
TCF25	14
CMSS1	3
WDR77	30
SYT3	7
C7ORF50	7
PELO	25
WDR83	49
ANAPC13	5
ZNF670	26
UBAC1	35
CNPY3	12
THUMPD2	1
TUBB6	6
MLST8	24
C2ORF49	2
TRMT61B	4
CDCA7	2
BCL2L13	61
TLR10	2
DUSP16	4
PLA2G12A	11
NLRP1	4
SPRY4	42
SEMA4C	15
ZNF436	29
BPESC1	3
MAF1	8
RNF38	26
C11ORF54	15
RNF208	28
ABCG4	6
MYLK2	6
ECRG4	2
EPN3	12
PABPC3	4
SENP3	9
EPS8L2	11
SYNC	10
ZNF696	34
DCLRE1B	13
RMND5A	7
GOLGA2P5	8
SMURF1	107
DNAJC4	4
ARFGAP3	37
PALMD	4
ESM1	17
ZNF302	10
MBIP	54
BRWD1	27
SEMA4G	35
