nodeName	Degree
CUL4B	123
DDB1	129
DDB2	79
DDX21	47
DEK	41
DKFZP686A1195	58
DMAP1	18
DPF1	22
DPF3	21
DSTN	6
EP400	39
EPC1	26
ERCC6	116
EVL	13
FLNB	89
FLNC	30
FN1	145
GPS1	195
GTF2A1	128
GTF2B	122
GTF3A	52
H4C1	377
HCLS1	60
ILK	67
ING3	20
INO80	32
INO80B	32
INO80C	33
INO80D	31
INO80E	31
IRF-1	14
IRF2	45
IRF3	115
IRF7	76
ITGA10	108
ITGA11	107
ITGA2	133
ITGA2B	139
ITGA3	123
ITGA4	138
ITGA5	139
ITGA6	136
ITGA7	108
ITGA7 VARIANT PROTEIN	76
ITGA8	129
ITGA9	121
ITGAD	78
ITGAE	75
ITGAL	101
ITGAM	131
ITGAV	200
ITGAX	99
ITGB2	169
ITGB3	240
ITGB4	149
ITGB6	130
ITGB7	135
ITGB8	128
ITGBL1	76
JUND	272
KAT2A	101
KAT2B	139
KAT5	148
KDM3A	30
KDM3B	24
LCP1	7
LIMS1	88
LIMS2	80
MCRS1	44
MEAF6	28
MEF2C	158
MICALL1	78
MLLT4	26
MORF4L1	17
MORF4L2	17
MRGBP	19
MSN	74
MYBBP1A	34
MYL2	69
MYO10	14
MYO1A	2
MYO1B	2
MYO1C	200
MYO1D	2
MYO1E	4
MYO1F	4
MYO1F VARIANT PROTEIN	2
MYO1G	2
MYO1H	2
MYO5A	26
MYO5B	6
MYO5C	2
MYO6	37
NCOA3	259
NFRKB	31
NR3C1	225
PARVA	84
PARVB	81
PARVG	26
PBRM1	19
PFDN1	25
PFDN2	26
PFDN4	25
PFDN5	28
PFDN6	25
PFN1	17
PFN2	10
PFN3	6
PFN4	6
PHF10	18
PIP5K1A	62
PIP5K1B	59
PIP5K1C	68
POLR1A	49
POLR1B	49
POLR1C	85
POLR1D	83
POLR1E	49
POLR1F	49
POLR1G	49
POLR1H	49
POLR2	27
POLR2E	451
POLR2F	448
POLR2H	448
POLR2K	448
POLR2L	448
PPARG	190
PTK2B	177
RACK1	63
RAD23B	74
RBX1	365
RHOC	106
RRN3	36
RUVBL1	99
RUVBL2	33
SF3B1	219
SMARCA2	61
SMARCA5	93
SMARCC1	69
SMARCC2	56
SMARCD1	38
SMARCD2	37
SMARCD3	108
SMARCE1	68
STK3	32
STM7	56
SYNPO	5
TAF1A	61
TAF1B	61
TAF1C	62
TAF1D	62
TAF7	74
TBP	211
TCP1	61
TFPT	31
THRA	63
TJP1	68
TLN2	29
TMSB4X	3
TMSB4Y	3
TRRAP	57
TWF1	52
TWF2	60
UCHL5	69
VBP1	29
VPS72	17
WASF1	29
WASF3	28
WDR1	3
XPC	58
YEATS4	19
YY1	275
ZBTB7A	58
ZYX	17
DBN1	1
HEL-S-265	3
MYBPC3	30
MYL3	36
MYL4	35
TNNI3	62
TNNT2	30
FHOD1	3
HSP90AB1	145
SRF	169
VIL1	2
AAK1	109
ADRB2	103
AGFG1	47
AMPH	118
AP2B1	163
AP2M1	181
AP2S1	168
APOB	118
ARRB1	636
ARRB2	664
AVP	100
AVPR2	66
BIN1	127
CD247	235
CD3D	144
CD3G	255
CD4	209
CFTR	164
CHRM2	113
CLTC	226
CLTCL1	172
DAB2	73
DNAJC6	109
DNM2	159
DVL2	215
EPN1	87
EPN2	82
EPS15	125
EPS15L1	75
FCGR1A	149
FCGR2A	151
FCGR3A	145
FZD4	132
GAB1	172
GAK	105
GAPVD1	105
HEL-S-275	22
HGS	104
HIP1R	103
IGF2R	62
IGHG1	135
IGHG2	131
IGHG3	136
IGHG4	131
IGHV	166
IGHV1-2	166
IGHV1-46	166
IGHV1-69	168
IGHV2-5	166
IGHV2-70	166
IGHV3-11	166
IGHV3-13	166
IGHV3-23	166
IGHV3-30	166
IGHV3-33	166
IGHV3-48	166
IGHV3-53	166
