nodeName	Degree
PSMA1	144
VIL1	2
HMBS	2
ATP5PB	12
ATP5F1A	12
RPS12	3
ATP6V1B2	8
CYP3A5	1
UBA1	11
TNXB	5
TALDO1	2
SREBF1	5
RPS19	7
ARCN1	3
CCT5	57
RPS5	4
GLIPR1	1
GCA	13
RPL22	17
PSMB8	28
PSMB6	9
PTGDS	12
EIF2S3	28
CRK	46
ACTR1B	1
RPL31	7
CCT2	34
UBE2I	172
UBE2H	6
RPL15	6
SNRPD2	16
SNRPF	20
PSMB3	18
PRIM1	4
STAR	8
U2AF1	33
MAT1A	3
OGDH	2
RASSF2	15
CSRP3	3
CCNG1	14
EFEMP1	31
SCRN1	4
CTBP2	60
EIF5	3
ACTB	30
HSPA2	61
ARFIP2	50
NAPA	10
DAZAP2	138
EIF4A2	17
SEC23B	12
RCN1	26
SYT6	29
CAMK1	3
CCIN	4
SF3A3	8
NR1H3	16
KCNAB2	2
CUL3	38
TRAF2	275
PTCH1	14
PMF1	24
ANKRD45	5
PCSK4	2
ZCCHC12	22
RASL11A	1
KLHL12	48
ARHGAP29	5
DIPK1A	1
PRO0132	1
ATP6AP1	2
TWIST1	10
LRRFIP1	4
LONRF2	18
CENPS	8
LYG1	3
SEPTIN4	5
INO80E	31
SYT15	6
TMEM47	5
ZNF2	6
PLA2G1B	1
PAQR7	3
NR2C2AP	7
NEK8	14
LDB1	13
RIMKLA	4
LGALS14	48
KRTAP11-1	101
CABCOCO1	2
TMA16	6
ERP27	10
PELI1	17
MCRS1	115
TBC1D5	11
LRRC45	8
SECISBP2	3
TXN2	71
TEX55	1
MED30	20
GPX7	13
SCLT1	1
C1QTNF3	1
NMES1	1
TMEM43	15
VAT1L	2
YY1AP1	5
GTPBP4	6
XAB2	11
RASSF5	28
TMEM239	68
RAPGEF4	6
PRPF31	137
SMARCC2	8
ZDHHC19	1
SCFD1	4
DCTN4	8
DBNL	12
NAP1L2	15
CPSF3	7
CIDEB	68
DNAJB4	4
ATP6V1H	7
SERTAD1	29
CDC42EP4	2
DPAGT1	1
STN1	18
ALG2	2
SNX12	11
USP18	3
TAOK3	3
LMAN2L	2
FANCF	4
SSU72	3
DDX21	9
ZNF302	9
SIK3	4
RPL26L1	2
PLXNA4	1
AP3M1	13
SPANXC	2
NHP2	2
NLK	15
FARSB	4
PICK1	331
IFT57	17
TMEM106B	2
DLD	8
SAP30	20
TNFSF15	3
NEUROD1	10
CRYAA	112
ENTPD2	2
GAB2	14
EBI-25885953	3
UBE2D4	39
AFG3L2	1
KNSTRN	9
CCDC120	109
RUSF1	56
intact:EBI-11988049	26
TTC19	41
VAC14	106
USH1G	25
ALDH1L2	1
KIAA1217	20
ZC2HC1C	96
SH3GLB2	18
C20orf141	4
EBI-25970205	1
EBI-25866033	2
TM6SF1	6
SAMD3	26
KCTD17	45
PIH1D2	70
TCP10L	33
PPP1R16B	35
UTP6	5
PFDN5	112
FICD	1
ZNF19	27
CREB1	14
EMILIN1	26
TMEM205	17
ARPC4	11
ACTR3	16
EIF3K	12
PRMT6	27
SESTD1	12
BLOC1S3	3
FBXO30	2
MSGN1	29
REX1BD	14
TTC33	12
FGF21	10
EBI-25831465	23
PADI3	7
EBI-25849960	5
FAM135B	14
PAIP2	6
PIGP	21
IFI35	18
RGR	23
RAP1GAP	3
DPYS	11
DOM3Z	21
GABPB1	54
EIF3F	56
AKAP9	46
UBE2A	22
TSC1	139
EBI-25831516	12
ATP6V1B1	12
ANXA4	13
KLF5	11
BCAT1	8
ANXA8	19
ALAS1	46
ZNF488	39
ASB9	33
THAP3	22
TBRG1	10
CHMP7	21
DPP9	19
AK8	24
LRRC61	14
GINS3	15
YRDC	4
OTUD7B	58
EBI-25852558	8
WDR83	41
ZNF333	9
TBL1XR1	7
DDI1	16
TAX1BP1	62
DCTN1	59
TP63	13
MKRN1	15
PLEKHB2	46
ZRANB1	142
TIMM44	7
RNF216	15
KRT14	27
BCAR3	9
TRIM37	35
TEKT4	101
KCNE1	3
KRT40	372
KRT31	353
KCTD1	18
GOLGA6L9	215
LZTS1	96
KRT39	33
KRT35	87
SPRY1	76
SMRP1	26
ARRDC3	34
FGFR1OP2	9
TRIM8	22
FADS6	20
TMCO2	6
COPS9	2
ARRDC1	6
PMEPA1	5
SNRNP48	4
EBI-16439879	82
PRDM6	69
TRIM5	12
KRT32	9
ZNF219	9
ZBTB42	49
LCN2	57
N4BP3	14
TRIM50	34
FAM83A	30
TEKT1	25
SLA2	3
SHISA6	29
ISY1	27
PRB3	7
FHL2	116
AKT2	7
SH3D19	3
PXN	26
ARHGEF15	6
EAF1	56
RIN1	43
DMRTB1	12
CCDC6	34
PRAM1	22
XIRP1	3
NFKBID	109
SLC22A5	6
FGD1	1
PRR20D	84
MTURN	23
EBI-22329726	23
ONECUT3	4
SYNPO2L	7
SEC24C	4
CDK16	10
SEC31A	6
SEC24D	4
SF1	21
FATE1	91
SUCLA2	10
MINAR1	7
