nodeName	Degree
PAPD5	15
RBM7	19
ATP5H	126
EIF3CL	46
ZNF7	1
ZNF16	3
TCEB3	78
ADRM1	86
RNF32	7
SMARCD2	40
LMBR1	5
RBM33	7
EIF4A2	65
NUP35	101
RBM17	34
RNPC3	44
WDR77	83
NUP50	109
NUP205	104
NUP62	135
DUT	93
LSM1	41
ZCRB1	38
POLR2A	281
NUPL2	97
HNRNPL	85
NCBP2L	26
PCBP1	58
SLBP	81
NUP107	120
SUMO1	212
NUP155	112
RBX1	239
ISY1	50
SRSF2	117
ILF2	69
CWC15	96
SEH1L	152
HNRNPH1	93
LUC7L	44
ZRSR2	42
DDX39B	126
SMNDC1	44
TARDBP	87
PRPF40B	72
POLR2I	107
GEMIN7	56
GEMIN6	55
HNRNPA3	47
BUD31	89
ISY1-RAB43	63
POLR2K	119
RBMX	59
LUC7L2	22
HNRNPAB	22
PTBP1	105
SMIM15	6
SYMPK	102
HTATSF1	43
CGI-74	38
CWF19L2	33
TPR	139
ENSG00000160201	70
GEMIN2	61
MATR3	86
GEMIN4	59
MAGOH	111
PHAX	56
PSMB6	108
BCAS2	81
NUP214	145
CACTIN	41
POLR2J	106
NUP43	102
SRSF9	83
SDE2	43
SMN1	32
CPSF3	102
SEC13	224
PRPF40A	70
SRSF6	97
YBX1	108
GEMIN5	57
SNRNP48	23
NUP133	104
U2SURP	45
CDC40	124
NUP153	155
CLNS1A	27
AQR	84
POM121	92
TAF15	62
RBM14	51
POM121C	89
PPIL1	77
SNRNP27	19
HNRNPM	94
ENY2	67
SRSF3	118
NUPL1	97
POLR2F	144
ERH	69
NEDD8-MDP1	6
PRKRIP1	42
ELAVL1	115
RAE1	137
CASC3	71
PSMB2	118
HNRNPA1	126
TGS1	72
SMN2	32
ENSG00000228049	27
FRG1	44
CHERP	41
PRMT5	121
NKAP	48
SRSF7	99
SNUPN	50
C10orf11	59
PRPF39	50
LUC7L3	33
HNRNPR	78
NUP210	111
NUP88	106
HNRNPK	135
SNRNP25	33
SNRNP35	40
HNRNPA2B1	96
NUP37	106
PLRG1	103
SYF2	76
PFDN5	73
NUP93	110
WDR70	45
NUP54	110
U2AFBP	46
NUP98	151
RBM8A	107
CPSF2	100
GEMIN8	55
POLR2G	130
HNRNPF	76
WDR25	57
ZMAT5	42
DDX20	76
NAA50	19
ILF3	69
NUP85	108
NDC1	98
PUF60	54
NUP188	98
U2AF2	174
NEDD8	193
DDX46	55
FAM32A	39
PDCD7	25
PPIE	43
TRA2B	70
HSPD1	135
CHTOP	53
AAAS	96
NUP160	101
POLR2L	158
CWC25	75
RANBP2	145
NUDT21	69
TRNAU1AP	36
POLR2D	108
STRAP	42
HNRNPA0	55
SRRM1	96
PPIG	88
GRPEL2	30
UMPS	63
IMPDH2	39
VARS	54
ATIC	59
APRT	74
NT5C3A	46
ENTPD6	26
NT5E	78
CANT1	46
ENSG00000279624	16
ENTPD3	76
ENTPD1	72
FARSB	21
PNP	46
SELENBP1	30
GUK1	42
GMPR2	5
NT5C	49
HPRT1	49
PPAT	32
PFAS	14
ADSS	63
CAD	35
MTAP	12
RFC4	196
ASNS	36
COASY	18
NT5C2	53
DDX39A	62
NT5C3B	41
GFM1	119
TPMT	19
NARS	40
ENTPD4	29
NT5M	52
ITPA	69
GMPR	41
ENTPD5	35
ALDH18A1	68
ENPP1	86
MCM6	124
IARS	59
ADSSL1	58
NT5C1A	54
USP7	90
PAICS	26
GRPEL1	70
ADSL	84
NT5C1B-RDH14	45
KARS	77
MCM3	174
ENTPD8	60
MTHFD2	22
CPS1	22
ENPP3	76
NT5C1B	51
PBDC1	15
RPUSD3	11
RPUSD4	11
DOPEY1	4
RPUSD1	7
MPHOSPH8	51
SPTY2D1	20
NOL7	21
MRPL54	95
HIST1H3I	136
HIST1H4E	161
HIST1H3H	133
HIST1H3D	140
NASP	68
IPO8	49
IPO9	16
XPOT	54
KPNA3	28
KPNB1	127
H3F3C	83
H3F3A	119
FEN1	180
HIST1H3J	164
HIST1H3F	136
IPO11	19
HIST1H4F	216
HIST1H3G	133
KPNA5	11
ASF1B	124
CSE1L	34
FANCD2	105
HIST2H3A	133
TNPO3	26
HIST2H3D	148
HIST2H3PS2	210
HIST1H3B	139
HIST1H3A	168
RAN	159
HIST1H3C	140
IPO13	21
HIST2H3C	132
KPNA2	105
KPNA4	36
HIST1H3E	135
HIST3H3	175
ASF1A	86
HIST1H4C	167
XPO5	36
H3F3B	133
PMPCA	47
SRPR	42
SUGP1	8
DDX42	20
GPATCH2	7
KHDRBS1	90
SF1	72
DEK	52
NKRF	6
GCFC2	13
CPSF6	62
RBM5	8
NTSR2	6
ANKUB1	2
SKIV2L	37
DDX1	30
RBM10	27
FUS	66
CMTR1	9
ZGPAT	4
HNRNPH3	32
TRA2A	26
GPCPD1	16
UBTF	64
PPP1R26	9
PPP1R11	11
PRKDC	120
XRCC5	121
MAT2A	24
MAT1A	23
PAXIP1	77
COIL	15
KHSRP	53
TCERG1	55
RAB28	149
TOMM7	76
COX7C	113
RAB13	42
TMA7	16
RAB8B	44
SRRD	3
BAHD1	13
SIRT2	64
NMNAT1	28
SIRT1	204
PANK4	6
SUV39H1	71
TSR3	11
BAZ2A	41
VWA8	13
LLPH	50
NBAS	21
GTPBP10	10
EPHA10	9
SENP5	16
TMA16	52
PHF2	22
METAP2	9
UPF1	78
P2RY4	11
P2RY11	10
CDKAL1	17
DUS2	6
HSPBP1	46
TRNT1	12
NFIB	20
BDP1	53
NFIX	21
GTF3C5	32
SMARCA5	107
GTF3C3	38
UBXN7	99
POLR3G	33
NFIA	20
NFIC	33
UXT	33
BRF2	28
GTF3C1	31
BRF1	29
ENSG00000249319	19
MAF1	23
ZNF143	16
PIH1D1	51
GTF3C2	16
GTF2B	134
